# 0 = time (write this way for splash) step: 0
#           x           vx    num    pmass       smooth          rho     pressure       utherm  numngb
         0.36            0    367   0.001875        0.015         0.25       0.1795        1.795       6
       0.3675            0    368   0.001875        0.015         0.25       0.1795        1.795       8
        0.375            0    369   0.001875        0.015         0.25       0.1795        1.795       7
       0.3825            0    370   0.001875        0.015         0.25       0.1795        1.795       7
         0.39            0    371   0.001875        0.015         0.25       0.1795        1.795       6
       0.3975            0    372   0.001875        0.015         0.25       0.1795        1.795       8
        0.405            0    373   0.001875        0.015         0.25       0.1795        1.795       8
       0.4125            0    374   0.001875        0.015         0.25       0.1795        1.795       6
         0.42            0    375   0.001875        0.015         0.25       0.1795        1.795       7
       0.4275            0    376   0.001875        0.015         0.25       0.1795        1.795       7
        0.435            0    377   0.001875        0.015         0.25       0.1795        1.795       7
       0.4425            0    378   0.001875        0.015         0.25       0.1795        1.795       7
         0.45            0    379   0.001875        0.015         0.25       0.1795        1.795       8
       0.4575            0    380   0.001875        0.015         0.25       0.1795        1.795       7
        0.465            0    381   0.001875        0.015         0.25       0.1795        1.795       6
       0.4725            0    382   0.001875        0.015         0.25       0.1795        1.795       8
         0.48            0    383   0.001875        0.015         0.25       0.1795        1.795       7
       0.4875            0    384   0.001875        0.015         0.25       0.1795        1.795       8
        0.495            0    385   0.001875        0.015         0.25       0.1795        1.795       6
       0.5025            0    386   0.001875        0.015         0.25       0.1795        1.795       7
